filepath,date,experiment_code,plate_number,well_number,scan_info,S,X,Y,I,filename,classification
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E01/matrix_scan01/AR_CS_0708_Matrix06_P1_E1_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E01,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_E1_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E01/matrix_scan01/AR_CS_0708_Matrix06_P1_E1_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E01,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_E1_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E01/matrix_scan01/AR_CS_0708_Matrix06_P1_E1_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E01,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_E1_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C03/matrix_scan01/AR_CS_0708_Matrix06_P1_C3_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C03,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C3_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C03/matrix_scan01/AR_CS_0708_Matrix06_P1_C3_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C03,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C3_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C03/matrix_scan01/AR_CS_0708_Matrix06_P1_C3_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C03,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C3_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C03/matrix_scan01/AR_CS_0708_Matrix06_P1_C3_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C03,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C3_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C04/matrix_scan01/AR_CS_0708_Matrix06_P1_C4_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C04,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C4_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C04/matrix_scan01/AR_CS_0708_Matrix06_P1_C4_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C04,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C4_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C04/matrix_scan01/AR_CS_0708_Matrix06_P1_C4_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C04,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C4_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C04/matrix_scan01/AR_CS_0708_Matrix06_P1_C4_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C04,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C4_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D07/matrix_scan01/AR_CS_0708_Matrix06_P1_D7_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D07,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_D7_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D07/matrix_scan01/AR_CS_0708_Matrix06_P1_D7_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D07,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_D7_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D07/matrix_scan01/AR_CS_0708_Matrix06_P1_D7_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D07,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_D7_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D07/matrix_scan01/AR_CS_0708_Matrix06_P1_D7_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D07,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_D7_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D01/matrix_scan01/AR_CS_0708_Matrix06_P1_D1_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D01,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_D1_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D01/matrix_scan01/AR_CS_0708_Matrix06_P1_D1_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D01,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_D1_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D01/matrix_scan01/AR_CS_0708_Matrix06_P1_D1_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D01,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_D1_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D01/matrix_scan01/AR_CS_0708_Matrix06_P1_D1_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D01,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_D1_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D06/matrix_scan01/AR_CS_0708_Matrix06_P1_D6_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D06,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_D6_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D06/matrix_scan01/AR_CS_0708_Matrix06_P1_D6_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D06,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_D6_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D06/matrix_scan01/AR_CS_0708_Matrix06_P1_D6_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D06,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_D6_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_D06/matrix_scan01/AR_CS_0708_Matrix06_P1_D6_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,D06,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_D6_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B04/matrix_scan01/AR_CS_0708_Matrix06_P1_B4_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B04,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_B4_ S-01 X-02 Y-02 I-001.txt,1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B04/matrix_scan01/AR_CS_0708_Matrix06_P1_B4_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B04,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_B4_ S-01 X-01 Y-02 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B04/matrix_scan01/AR_CS_0708_Matrix06_P1_B4_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B04,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_B4_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B04/matrix_scan01/AR_CS_0708_Matrix06_P1_B4_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B04,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_B4_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B03/matrix_scan01/AR_CS_0708_Matrix06_P1_B3_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B03,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_B3_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B03/matrix_scan01/AR_CS_0708_Matrix06_P1_B3_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B03,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_B3_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B03/matrix_scan01/AR_CS_0708_Matrix06_P1_B3_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B03,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_B3_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_B03/matrix_scan01/AR_CS_0708_Matrix06_P1_B3_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,B03,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_B3_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C08/matrix_scan01/AR_CS_0708_Matrix06_P1_C8_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C08,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C8_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C08/matrix_scan01/AR_CS_0708_Matrix06_P1_C8_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C08,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C8_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C08/matrix_scan01/AR_CS_0708_Matrix06_P1_C8_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C08,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C8_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C08/matrix_scan01/AR_CS_0708_Matrix06_P1_C8_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C08,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C8_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C01/matrix_scan01/AR_CS_0708_Matrix06_P1_C1_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C01,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C1_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C01/matrix_scan01/AR_CS_0708_Matrix06_P1_C1_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C01,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C1_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C01/matrix_scan01/AR_CS_0708_Matrix06_P1_C1_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C01,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C1_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C01/matrix_scan01/AR_CS_0708_Matrix06_P1_C1_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C01,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C1_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C06/matrix_scan01/AR_CS_0708_Matrix06_P1_C6_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C06,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C6_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C06/matrix_scan01/AR_CS_0708_Matrix06_P1_C6_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C06,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C6_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C06/matrix_scan01/AR_CS_0708_Matrix06_P1_C6_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C06,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C6_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C06/matrix_scan01/AR_CS_0708_Matrix06_P1_C6_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C06,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C6_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E04/matrix_scan01/AR_CS_0708_Matrix06_P1_E4_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E04,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_E4_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E04/matrix_scan01/AR_CS_0708_Matrix06_P1_E4_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E04,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_E4_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E04/matrix_scan01/AR_CS_0708_Matrix06_P1_E4_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E04,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_E4_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E04/matrix_scan01/AR_CS_0708_Matrix06_P1_E4_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E04,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_E4_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E03/matrix_scan01/AR_CS_0708_Matrix06_P1_E3_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E03,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_E3_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E03/matrix_scan01/AR_CS_0708_Matrix06_P1_E3_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E03,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_E3_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E03/matrix_scan01/AR_CS_0708_Matrix06_P1_E3_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E03,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_E3_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E03/matrix_scan01/AR_CS_0708_Matrix06_P1_E3_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E03,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_E3_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C07/matrix_scan01/AR_CS_0708_Matrix06_P1_C7_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C07,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_C7_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C07/matrix_scan01/AR_CS_0708_Matrix06_P1_C7_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C07,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_C7_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C07/matrix_scan01/AR_CS_0708_Matrix06_P1_C7_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C07,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_C7_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_C07/matrix_scan01/AR_CS_0708_Matrix06_P1_C7_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,C07,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_C7_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E02/matrix_scan01/AR_CS_0708_Matrix06_P1_E2_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E02,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix06_P1_E2_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E02/matrix_scan01/AR_CS_0708_Matrix06_P1_E2_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E02,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix06_P1_E2_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E02/matrix_scan01/AR_CS_0708_Matrix06_P1_E2_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E02,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix06_P1_E2_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix06/plate1_E02/matrix_scan01/AR_CS_0708_Matrix06_P1_E2_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix06,plate1,E02,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix06_P1_E2_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B06/matrix_scan01/AR_CS_0708_Matrix01_P1_B6_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B06,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix01_P1_B6_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B06/matrix_scan01/AR_CS_0708_Matrix01_P1_B6_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B06,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix01_P1_B6_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B06/matrix_scan01/AR_CS_0708_Matrix01_P1_B6_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B06,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix01_P1_B6_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B06/matrix_scan01/AR_CS_0708_Matrix01_P1_B6_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B06,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix01_P1_B6_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B08/matrix_scan01/AR_CS_0708_Matrix01_P1_B8_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B08,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix01_P1_B8_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B08/matrix_scan01/AR_CS_0708_Matrix01_P1_B8_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B08,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix01_P1_B8_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B08/matrix_scan01/AR_CS_0708_Matrix01_P1_B8_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B08,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix01_P1_B8_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_B08/matrix_scan01/AR_CS_0708_Matrix01_P1_B8_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,B08,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix01_P1_B8_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D03/matrix_scan01/AR_CS_0708_Matrix01_P1_D3_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D03,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix01_P1_D3_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D03/matrix_scan01/AR_CS_0708_Matrix01_P1_D3_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D03,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix01_P1_D3_ S-01 X-01 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D03/matrix_scan01/AR_CS_0708_Matrix01_P1_D3_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D03,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix01_P1_D3_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D03/matrix_scan01/AR_CS_0708_Matrix01_P1_D3_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D03,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix01_P1_D3_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D04/matrix_scan01/AR_CS_0708_Matrix01_P1_D4_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D04,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix01_P1_D4_ S-01 X-02 Y-01 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix01/plate1_D04/matrix_scan01/AR_CS_0708_Matrix01_P1_D4_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix01,plate1,D04,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix01_P1_D4_ S-01 X-01 Y-01 I-001.txt,-1
